2025-08-05 20:48:32,009 - discord.client - WARNING - PyNaCl is not installed, voice will NOT be supported
2025-08-05 20:55:13,611 - discord.client - WARNING - PyNaCl is not installed, voice will NOT be supported
2025-08-05 20:55:22,889 - discord.client - WARNING - PyNaCl is not installed, voice will NOT be supported
2025-08-05 21:00:30,066 - discord.client - WARNING - PyNaCl is not installed, voice will NOT be supported
2025-08-05 21:00:48,941 - discord.client - WARNING - PyNaCl is not installed, voice will NOT be supported
2025-08-05 21:01:02,582 - discord.client - WARNING - PyNaCl is not installed, voice will NOT be supported
2025-08-05 21:01:23,785 - AegisBot - WARNING - SECURITY_EVENT - Type: TEST_EVENT, Details: Test message, User: 123456789
2025-08-05 21:01:23,787 - AegisBot - INFO - VALIDATION_VALIDATE - Validator: 123456789, Report: REPORT_123, Guild: 987654321
2025-08-05 21:02:42,782 - discord.client - WARNING - PyNaCl is not installed, voice will NOT be supported
2025-08-05 21:06:35,476 - discord.client - WARNING - PyNaCl is not installed, voice will NOT be supported
2025-08-06 16:26:16,446 - discord.client - WARNING - PyNaCl is not installed, voice will NOT be supported
2025-08-06 16:26:23,326 - discord.client - WARNING - PyNaCl is not installed, voice will NOT be supported
2025-08-06 16:26:58,757 - discord.client - WARNING - PyNaCl is not installed, voice will NOT be supported
2025-08-06 16:27:20,433 - discord.client - WARNING - PyNaCl is not installed, voice will NOT be supported
2025-08-06 16:27:45,985 - discord.client - WARNING - PyNaCl is not installed, voice will NOT be supported
2025-08-06 16:28:22,092 - discord.client - WARNING - PyNaCl is not installed, voice will NOT be supported
[2025-08-06 17:25:35] [INFO    ] aegis.ui.report_modals: Signalement soumis par 1faton dans Aegis
[2025-08-06 17:25:35] [INFO    ] aegis.report_service: Signalement créé: 9977A713 par user 883682952221978674
[2025-08-06 17:26:53] [INFO    ] aegis: ==================================================
[2025-08-06 17:26:53] [INFO    ] aegis: 🤖 Démarrage d'Aegis Bot (Version Refactorisée)
[2025-08-06 17:26:53] [INFO    ] aegis: ==================================================
[2025-08-06 17:26:53] [INFO    ] aegis: ✅ Configuration validée
[2025-08-06 17:26:53] [INFO    ] aegis: 🔧 Mode test: Désactivé
[2025-08-06 17:26:53] [INFO    ] aegis: 🔧 Mode debug: Désactivé
[2025-08-06 17:26:53] [INFO    ] aegis: 🗃️  Supabase: Activé
[2025-08-06 17:26:53] [INFO    ] aegis.bot: 🔧 Initialisation des services...
[2025-08-06 17:26:53] [INFO    ] aegis.bot: ✅ Services initialisés
[2025-08-06 17:26:53] [INFO    ] aegis.reports: ✅ Cog Reports chargé
[2025-08-06 17:26:53] [INFO    ] aegis.admin: ✅ Cog Admin chargé
[2025-08-06 17:26:53] [INFO    ] aegis.setup: ✅ Cog Setup chargé
[2025-08-06 17:26:53] [INFO    ] aegis.bot: 🔌 Extensions chargées
[2025-08-06 17:26:53] [INFO    ] aegis: 🚀 Bot initialisé avec succès
[2025-08-06 17:26:57] [INFO    ] aegis.bot: ==================================================
[2025-08-06 17:26:57] [INFO    ] aegis.bot: 🤖 Aegis#4663 est connecté et prêt !
